iter	Passed	Remaining
0	136	136840
1	138	69010
2	139	46421
3	140	35103
4	142	28381
5	144	23863
6	145	20609
7	146	18172
8	147	16264
9	149	14754
10	150	13527
11	151	12483
12	152	11598
13	154	10866
14	155	10216
15	156	9651
16	158	9148
17	159	8701
18	160	8297
19	162	7947
20	163	7619
21	164	7319
22	165	7043
23	166	6787
24	168	6555
25	169	6342
26	170	6156
27	172	5982
28	173	5818
29	174	5658
30	176	5502
31	177	5357
32	178	5222
33	179	5097
34	180	4977
35	181	4864
36	182	4758
37	183	4657
38	185	4564
39	186	4473
40	187	4386
41	188	4306
42	190	4235
43	191	4163
44	192	4089
45	193	4018
46	194	3952
47	196	3890
48	197	3829
49	198	3775
50	199	3718
51	201	3666
52	202	3616
53	203	3565
54	204	3515
55	205	3468
56	206	3422
57	207	3377
58	209	3334
59	210	3293
60	211	3254
61	212	3215
62	214	3183
63	215	3149
64	217	3122
65	218	3087
66	219	3052
67	220	3019
68	221	2987
69	222	2955
70	223	2925
71	224	2896
72	226	2869
73	227	2842
74	228	2816
75	229	2793
76	231	2770
77	232	2745
78	233	2719
79	234	2694
80	235	2670
81	236	2646
82	236	2618
83	238	2595
84	239	2574
85	240	2554
86	241	2533
87	242	2513
88	244	2498
89	245	2480
90	246	2462
91	247	2444
92	248	2426
93	249	2407
94	250	2390
95	252	2373
96	253	2358
97	254	2345
98	256	2330
99	257	2315
100	258	2300
101	259	2285
102	260	2272
103	262	2257
104	263	2244
105	264	2232
106	266	2221
107	267	2210
108	268	2198
109	270	2185
110	271	2172
111	272	2162
112	273	2150
113	275	2138
114	276	2127
115	277	2115
116	278	2101
117	279	2092
118	281	2082
119	282	2070
120	283	2060
121	284	2048
122	286	2041
123	287	2032
124	288	2022
125	290	2014
126	291	2005
127	293	1996
128	294	1987
129	295	1977
130	296	1968
131	298	1961
132	299	1953
133	301	1946
134	302	1940
135	304	1933
136	305	1927
137	307	1919
138	308	1911
139	310	1904
140	311	1895
141	311	1884
142	313	1876
143	315	1874
144	316	1868
145	318	1861
146	319	1853
147	321	1853
148	323	1846
149	324	1838
150	325	1830
151	327	1826
152	328	1819
153	330	1812
154	331	1806
155	333	1805
156	335	1799
157	336	1791
158	337	1784
159	339	1780
160	339	1771
161	341	1764
162	342	1758
163	343	1752
164	345	1749
165	347	1743
166	348	1737
167	349	1732
168	351	1726
169	352	1721
170	354	1716
171	355	1713
172	357	1709
173	358	1703
174	360	1697
175	362	1695
176	363	1689
177	364	1684
178	366	1679
179	367	1675
180	369	1669
181	370	1664
182	371	1659
183	373	1657
184	375	1652
185	376	1648
186	378	1644
187	380	1641
188	381	1637
189	382	1631
190	384	1628
191	386	1624
192	387	1619
193	388	1615
194	391	1615
195	392	1610
196	393	1605
197	395	1600
198	397	1598
199	398	1594
200	400	1590
201	401	1585
202	403	1582
203	404	1577
204	405	1571
205	406	1566
206	407	1562
207	409	1558
208	410	1554
209	412	1550
210	413	1547
211	415	1542
212	416	1538
213	417	1533
214	418	1529
215	421	1528
216	422	1525
217	423	1520
218	425	1517
219	427	1514
220	428	1511
221	430	1507
222	431	1504
223	433	1501
224	434	1497
225	436	1494
226	438	1492
227	439	1488
228	440	1484
229	442	1481
230	443	1477
231	445	1473
232	446	1469
233	447	1465
234	449	1462
235	450	1458
236	452	1455
237	453	1452
238	456	1452
239	457	1449
240	459	1445
241	460	1443
242	462	1440
243	463	1437
244	465	1433
245	466	1429
246	467	1426
247	469	1424
248	471	1421
249	472	1418
250	474	1414
251	475	1411
252	476	1408
253	478	1405
254	479	1401
255	481	1398
256	482	1394
257	483	1390
258	484	1387
259	485	1383
260	487	1379
261	488	1376
262	489	1372
263	490	1368
264	492	1366
265	494	1363
266	495	1360
267	496	1357
268	498	1354
269	499	1350
270	500	1346
271	501	1343
272	503	1339
273	504	1336
274	505	1333
275	506	1329
276	508	1326
277	509	1324
278	511	1321
279	512	1317
280	513	1314
281	515	1311
282	516	1307
283	517	1304
284	518	1300
285	519	1297
286	521	1295
287	523	1293
288	524	1290
289	526	1287
290	527	1285
291	528	1282
292	530	1279
293	531	1276
294	533	1274
295	534	1271
296	535	1267
297	538	1268
298	539	1265
299	541	1263
300	542	1260
301	544	1258
302	545	1255
303	547	1252
304	548	1249
305	550	1247
306	552	1246
307	553	1243
308	555	1241
309	556	1239
310	558	1236
311	559	1233
312	560	1231
313	563	1230
314	564	1227
315	565	1225
316	567	1222
317	569	1220
318	570	1218
319	572	1216
320	574	1215
321	576	1213
322	577	1210
323	579	1208
324	580	1206
325	582	1204
326	584	1202
327	585	1199
328	586	1196
329	588	1194
330	589	1191
331	591	1190
332	593	1188
333	596	1189
334	598	1187
335	599	1185
336	601	1182
337	602	1180
338	603	1177
339	605	1174
340	606	1172
341	608	1170
342	609	1168
343	611	1166
344	613	1164
345	615	1162
346	616	1159
347	617	1156
348	618	1154
349	620	1151
350	621	1149
351	622	1146
352	625	1147
353	628	1147
354	630	1145
355	631	1142
356	633	1140
357	634	1137
358	636	1135
359	637	1133
360	639	1131
361	640	1129
362	642	1127
363	643	1124
364	644	1121
365	645	1118
366	646	1115
367	648	1114
368	650	1111
369	651	1108
370	652	1106
371	654	1105
372	655	1102
373	656	1099
374	658	1097
375	659	1094
376	660	1091
377	662	1089
378	663	1086
379	665	1085
380	666	1082
381	668	1080
382	670	1079
383	671	1076
384	672	1074
385	673	1071
386	676	1070
387	677	1069
388	678	1066
389	680	1064
390	682	1063
391	684	1061
392	685	1059
393	687	1057
394	689	1055
395	690	1053
396	691	1050
397	693	1048
398	694	1046
399	696	1044
400	698	1042
401	700	1041
